threshold,TP,TN,FP,FN,joint_f1,joint_f1_ci_low,joint_f1_ci_median,joint_f1_ci_high,positive_joint_recall,positive_joint_recall_ci_low,positive_joint_recall_ci_high,accepted_below_n,accepted_below_rate_all_positive,accepted_below_rate_ci_low,accepted_below_rate_ci_high,f1_gap_vs_identification,f1_gap_ci_low,f1_gap_ci_high
0.73,70,136,4,70,0.6542056074766355,0.5742574334144592,0.6542056202888489,0.726457417011261,0.5,0.41428571939468384,0.5857142806053162,63,0.45,0.3642857074737549,0.5285714268684387,0.30608320118762444,0.23695147037506104,0.3796121351420879
0.74,69,136,4,71,0.647887323943662,0.5686274766921997,0.6478873491287231,0.7207207083702087,0.4928571428571429,0.40714284777641296,0.5785714387893677,64,0.45714285714285713,0.37142857909202576,0.5357142686843872,0.3124014847205979,0.2430305015295744,0.38685492426157
0.75,65,136,4,75,0.6220095693779905,0.5400000214576721,0.6220095753669739,0.6968325972557068,0.4642857142857143,0.37857142090797424,0.550000011920929,68,0.4857142857142857,0.4000000059604645,0.5714285969734192,0.33827923928626946,0.26593607664108276,0.41611722111701965
0.76,65,136,4,75,0.6220095693779905,0.5400000214576721,0.6220095753669739,0.6968325972557068,0.4642857142857143,0.37857142090797424,0.550000011920929,68,0.4857142857142857,0.4000000059604645,0.5714285969734192,0.33827923928626946,0.26593607664108276,0.41611722111701965
0.77,64,136,4,76,0.6153846153846154,0.5320042073726654,0.6153846383094788,0.6912442445755005,0.45714285714285713,0.37142857909202576,0.5428571701049805,69,0.4928571428571429,0.40714284777641296,0.5785714387893677,0.3449041932796445,0.2717648379504681,0.4251236759126186
0.78,63,136,4,77,0.6086956521739131,0.5252525210380554,0.6086956262588501,0.6851851940155029,0.45,0.3642857074737549,0.5357142686843872,70,0.5,0.41428571939468384,0.5857142806053162,0.35159315649034684,0.2774734653532505,0.43119025230407715
0.79,62,136,4,78,0.6019417475728155,0.5181347131729126,0.6028708219528198,0.6790697574615479,0.44285714285714284,0.3642857074737549,0.5285714268684387,71,0.5071428571428571,0.4214285612106323,0.5857142806053162,0.35834706109144443,0.2831496298313141,0.43789232596755023
0.8,59,136,4,81,0.5812807881773399,0.49740794375538827,0.5812807679176331,0.6604651212692261,0.42142857142857143,0.34285715222358704,0.5071428418159485,74,0.5285714285714286,0.44285714626312256,0.6071428656578064,0.37900802048692006,0.3031162224709988,0.45942917242646214
0.81,58,136,4,82,0.5742574257425742,0.4893617033958435,0.5742574334144592,0.6540284156799316,0.4142857142857143,0.33571428060531616,0.5,75,0.5357142857142857,0.44999998807907104,0.6142857074737549,0.3860313829216857,0.30898729115724566,0.46814221143722534
0.82,57,136,4,83,0.5671641791044776,0.481675386428833,0.567307710647583,0.6476190686225891,0.40714285714285714,0.3285714387893677,0.4928571283817291,76,0.5428571428571428,0.4571428596973419,0.6214285492897034,0.39312462955978233,0.31540838405489924,0.475380540639162
